user_id,reviewer,action_taken,notes,timestamp
user_04584,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_01527,cs-demo (simulated),escalate,escalated to account owner,2026-09-29T15:00:00Z
user_04265,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04869,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_02471,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04514,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03122,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03207,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_01113,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04404,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03008,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03913,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03775,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04491,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_02509,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04357,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_02447,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04880,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_01532,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03324,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04163,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03574,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03610,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_02946,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_00477,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_02903,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04410,cs-demo (simulated),escalate,exec sponsor call booked before renewal,2026-09-29T15:00:00Z
user_04821,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_03982,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_02309,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_01343,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04906,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_04970,cs-demo (simulated),escalate,accepted suggested action,2026-09-29T15:00:00Z
user_00436,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_00937,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
user_03576,cs-demo (simulated),retention outreach (human review),accepted suggested action,2026-09-29T15:00:00Z
