user_id,churned,observed_at
santosh_shinde,0,2026-10-28T00:00:00Z
user_00011,0,2026-10-28T00:00:00Z
user_00017,0,2026-10-28T00:00:00Z
user_00084,0,2026-10-28T00:00:00Z
user_00121,0,2026-10-28T00:00:00Z
user_00144,0,2026-10-28T00:00:00Z
user_00171,0,2026-10-28T00:00:00Z
user_00205,0,2026-10-28T00:00:00Z
user_00239,0,2026-10-28T00:00:00Z
user_00255,0,2026-10-28T00:00:00Z
user_00287,0,2026-10-28T00:00:00Z
user_00436,1,2026-10-28T00:00:00Z
user_00454,0,2026-10-28T00:00:00Z
user_00477,1,2026-10-28T00:00:00Z
user_00479,0,2026-10-28T00:00:00Z
user_00480,0,2026-10-28T00:00:00Z
user_00484,0,2026-10-28T00:00:00Z
user_00548,0,2026-10-28T00:00:00Z
user_00568,0,2026-10-28T00:00:00Z
user_00587,0,2026-10-28T00:00:00Z
user_00598,0,2026-10-28T00:00:00Z
user_00614,0,2026-10-28T00:00:00Z
user_00629,0,2026-10-28T00:00:00Z
user_00656,0,2026-10-28T00:00:00Z
user_00719,0,2026-10-28T00:00:00Z
user_00738,1,2026-10-28T00:00:00Z
user_00750,0,2026-10-28T00:00:00Z
user_00754,0,2026-10-28T00:00:00Z
user_00760,1,2026-10-28T00:00:00Z
user_00764,0,2026-10-28T00:00:00Z
user_00769,0,2026-10-28T00:00:00Z
user_00791,0,2026-10-28T00:00:00Z
user_00820,0,2026-10-28T00:00:00Z
user_00823,0,2026-10-28T00:00:00Z
user_00854,0,2026-10-28T00:00:00Z
user_00903,0,2026-10-28T00:00:00Z
user_00937,0,2026-10-28T00:00:00Z
user_00956,0,2026-10-28T00:00:00Z
user_00962,0,2026-10-28T00:00:00Z
user_00999,1,2026-10-28T00:00:00Z
user_01002,0,2026-10-28T00:00:00Z
user_01008,0,2026-10-28T00:00:00Z
user_01029,0,2026-10-28T00:00:00Z
user_01032,0,2026-10-28T00:00:00Z
user_01034,0,2026-10-28T00:00:00Z
user_01041,0,2026-10-28T00:00:00Z
user_01057,0,2026-10-28T00:00:00Z
user_01070,0,2026-10-28T00:00:00Z
user_01113,1,2026-10-28T00:00:00Z
user_01167,0,2026-10-28T00:00:00Z
user_01186,1,2026-10-28T00:00:00Z
user_01189,0,2026-10-28T00:00:00Z
user_01213,0,2026-10-28T00:00:00Z
user_01227,0,2026-10-28T00:00:00Z
user_01343,1,2026-10-28T00:00:00Z
user_01368,0,2026-10-28T00:00:00Z
user_01378,0,2026-10-28T00:00:00Z
user_01384,0,2026-10-28T00:00:00Z
user_01398,1,2026-10-28T00:00:00Z
user_01414,0,2026-10-28T00:00:00Z
user_01477,0,2026-10-28T00:00:00Z
user_01494,0,2026-10-28T00:00:00Z
user_01495,0,2026-10-28T00:00:00Z
user_01527,1,2026-10-28T00:00:00Z
user_01532,1,2026-10-28T00:00:00Z
user_01590,0,2026-10-28T00:00:00Z
user_01657,0,2026-10-28T00:00:00Z
user_01732,0,2026-10-28T00:00:00Z
user_01760,0,2026-10-28T00:00:00Z
user_01798,0,2026-10-28T00:00:00Z
user_01815,0,2026-10-28T00:00:00Z
user_01824,0,2026-10-28T00:00:00Z
